ORIG_PARCEL_ID,YrBuilt_wt,YrBuilt_main,EffYr_wt,EffYr_main,BldgGrossSqFt,BldgNetSqFt,name,address,SITUS_ZIP_NR,SITUS_ADDRESS,OBJECTID,FIPS_NR,COUNTY_NM,PARCEL_ID_NR,SUB_ADDRESS,SITUS_CITY_NM,LANDUSE_CD,VALUE_LAND,VALUE_BLDG,DATA_LINK,FILE_DATE,GlobalID,Shape__Area,Shape__Length,name_orig,school,established,neighborhood,nickname,spring_2023_enrollment
0269001275,1927,1927,2019,2019,78880,78880,magnolia,"2418 28th Ave. W
Seattle, WA 98199",98199,2418 28TH AVE W,1345934,033,King,033-0269001275,ARLINGTON HEIGHTS ADD  & POR VAC ST,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0269001275,1/20/2023 8:00:00 AM,ccdad903-21af-4a75-86ca-86a6b031a37a,106436.256896973,1311.28038079996,Magnolia Elementary,Magnolia,1927,Magnolia,Orcas,358
0369000400,1989,1989,2003,2003,52546,52546,lawton,"4000 27th Ave. W
Seattle, WA 98199",98199,4017 26TH AVE W,1339143,033,King,033-0369000400,BAKER THE ADD   & POR VAC STS A*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0369000400,1/20/2023 8:00:00 AM,7aa25fd8-316d-48c3-956a-6271f99f2231,145681.403930664,1831.50847399753,Lawton Elementary,Lawton[k],1913,Magnolia,Dolphins,333
0439000615,1955,1955,1980,1980,45000,45000,wedgwood,"2720 NE 85th St.
Seattle, WA 98115",98115,2720 NE 85TH ST,1334229,033,King,033-0439000615,BALCHS ALBERT WEDGWOOD #4  & LOTS 1 THRU 9*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0439000615,1/20/2023 8:00:00 AM,1e48c565-02fc-434e-9b3b-f880eb0fe8c2,194231.336486816,2019.63318517561,Wedgwood Elementary,Wedgwood,1955,Wedgwood,Dolphins,359
0625049048,1924,1913,2019,2019,63847,63847,daniel bagley,"7821 Stone Ave. N
Seattle, WA 98103",98103,7821 STONE AVE N,1323403,033,King,033-0625049048,W 660 FT OF N 395 FT OF GL 2 IN NE 1/4 OF STR 06-*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0625049048,1/20/2023 8:00:00 AM,33fe5800-344c-4b9c-9543-88e1b7ac61a5,172086.764648438,1673.96690147166,Daniel Bagley Elementary,Daniel Bagley,1907,Green Lake,Bees,323
0809000005,1989,1989,2001,2001,50885,50885,john hay,"201 Garfield St.
Seattle, WA 98109",98109,201 GARFIELD ST,1312075,033,King,033-0809000005,BIGELOWS ADD   ALL BLKS 3 & 4 *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0809000005,1/20/2023 8:00:00 AM,bd633e2d-6fb2-4d51-83b3-2d90ab9df7a1,142245.074584961,1612.51167424174,John Hay Elementary,John Hay,1905,Queen Anne,Jaguars,275
1102000138,1961,1961,1995,1995,60800,60800,graham hill,"5149 S Graham St.
Seattle, WA 98118",98118,5149 S GRAHAM ST,1290369,033,King,033-1102000138,BRIGHTON BEACH   LOT 2 LESS S 18*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1102000138,1/20/2023 8:00:00 AM,b7eaf9d5-866d-44e8-a67f-f7ffa4296bcd,196651.081420898,2251.06268449766,Graham Hill Elementary,Graham Hill,1961,Seward Park,Whales,266
1125049134,1958,1958,1975,1975,36212,36212,sand point,"6208 60th Ave. NE
Seattle, WA 98115",98115,6200 60TH AVE NE,1286813,033,King,033-1125049134,N 5/6 OF E 1/10 OF SE 1/4 OF NW 1/4 OF NW 1/4 &*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1125049134,1/20/2023 8:00:00 AM,20557a91-f1c2-4e40-81f5-4e28bbc937e6,171443.162231445,2299.67845822844,Sand Point Elementary,Sand Point,1958,Windermere,Squirrels,199
1324039116,1999,1999,2005,2005,68509,68509,pathfinder,"1901 SW Genesee St.
Seattle, WA 98106",98106,1901 SW GENESEE ST,1267264,033,King,033-1324039116,BEG SE COR STR 13-24-3 TH ALG S LN SD SEC S 89-17*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1324039116,1/20/2023 8:00:00 AM,3ca09820-a938-4d22-a8cb-18c28c0d66dd,608879.69732666,3186.63007704109,Pathfinder K-8,Pathfinder,1994,Delridge,NA,465
1337801270,1904,1900,1988,1990,34724,34724,stevens,"1242 18th Ave. E
Seattle, WA 98112",98112,1800 E GALER ST,1263904,033,King,033-1337801270,CAPITOL HILL ADD DIV # 4  1 TO 11 INCL & *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1337801270,1/20/2023 8:00:00 AM,24f316ef-6aea-411c-9eb3-5f96e3d51692,105904.949707031,1387.2735308952,Stevens Elementary,Stevens,1906,Capitol Hill,N/A,165
1454100350,1959,1959,1965,1965,32590,32590,cedar park,"3737 NE 135th St.
Seattle, WA 98125",98125,3737 NE 135TH ST,1251690,033,King,033-1454100350,CEDAR PARK # 2   1-2-3 & 4 LESS *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1454100350,1/20/2023 8:00:00 AM,ada47467-f246-426a-82a4-11aad8df7cf6,190914.374450684,1779.56905641842,Cedar Park Elementary,Cedar Park,1959,Lake City,Wolves,247
1498300850,1971,1971,1993,1995,55301,52335,beacon hill international,"2025 14th Ave. S
Seattle, WA 98144",98144,2025 14TH AVE S,1249774,033,King,033-1498300850,CENTRAL SEATTLE   & POR VAC ALLEY*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1498300850,1/20/2023 8:00:00 AM,0cc57a8b-1f4b-41fe-83d4-106a4a9e42a6,84549.944519043,1172.50609998906,Beacon Hill International Elementary,Beacon Hill Int'l,1899,Beacon Hill,Tigers,341
1524049002,1970,1970,1985,1985,56827,56827,john muir,"3301 S Horton St.
Seattle, WA 98144",98144,3301 S HORTON ST,1246583,033,King,033-1524049002,W 209 FT OF N 209 FT OF S 795.78 FT OF NW 1/4 OF *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1524049002,1/20/2023 8:00:00 AM,75ac2a18-e09c-4e3b-b7f0-18f181d5f0fc,118924.386779785,1405.45128692943,John Muir Elementary,John Muir,1910,Mount Baker,Lions,346
1624049006,1971,1971,1971,1971,35982,35982,kimball,"3200 23rd Ave. S
Seattle, WA 98144",98144,3200 23RD AVE S,1237482,033,King,033-1624049006,TR 6 OF STATE SUBD OF SEC 16-24-4 & POR VAC S HOR*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1624049006,1/20/2023 8:00:00 AM,cdd9e89d-318f-41e9-8e5c-8be7061da74d,208826.163757324,2045.99154002847,Kimball Elementary,Kimball[i],1971,North Beacon Hill,Cougars,376
1704900242,1989,1989,1989,1989,59331,59331,orca,"5215 46th Ave. S
Seattle, WA 98118",98118,5215 46TH AVE S,1232972,033,King,033-1704900242,COLUMBIA HEIGHTS   LESS W 2.62 FT *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1704900242,1/20/2023 8:00:00 AM,a9f24401-8091-47f3-b614-f8ae1c6a06ae,113651.414794922,1357.31093609124,Orca K-8,ORCA,1989,Columbia City,NA,392
1926049025,1963,1963,1977,1977,127347,127347,broadviewthomson,"13052 Greenwood Ave. N
Seattle, WA 98133",98133,13052 GREENWOOD AVE N,1208886,033,King,033-1926049025,N 1/2 OF S 1/2 OF NW 1/4 OF SW 1/4 LESS RD,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1926049025,1/20/2023 8:00:00 AM,679469df-57ec-4f44-9723-90e5eb78f901,407832.09765625,3118.74481081263,Broadview-Thomson K-8,Broadview-Thomson,2008,Broadview,Bulldogs,567
1931301145,1900,1900,1989,1989,68515,68515,benjamin franklin day,"3921 Linden Ave. N
Seattle, WA 98103",98103,3921 LINDEN AVE N,1207547,033,King,033-1931301145,DAYS FRANCES R LAGRANDE ALL BLK 10 & SOUTH HALF B*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1931301145,1/20/2023 8:00:00 AM,46a94c15-2b87-4124-8c13-140c02bd2809,168839.577575684,1832.36670337559,Benjamin Franklin Day Elementary,B.F. Day,1892,Fremont,Sun Dragons,397
1932300245,1926,1926,1985,1985,44324,44324,roxhill,"7740 34th Ave. SW
Seattle, WA 98126",98126,7740 34TH AVE SW,1207498,033,King,033-1932300245,DAYS PARK ADD   & POR VAC ALLEY*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1932300245,1/20/2023 8:00:00 AM,28469570-8830-4217-b377-33a21c6888ad,161746.025390625,1745.59585466027,Roxhill Elementary,Roxhill,1958,Roxhill,Stars,290
1959700005,1920,1905,1991,1990,82529,82529,tops,"2500 Franklin Ave. E
Seattle, WA 98102",98102,2515 BOYLSTON AVE E,1205625,033,King,033-1959700005,DENNY FUHRMAN ADD   & VAC ALLEY,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1959700005,1/20/2023 8:00:00 AM,d36a2e35-4cc8-49eb-aa3d-4cc6ecb33c64,78751.0333251953,1154.04600354717,TOPS K-8,TOPS,1976,Eastlake,Falcons,478
2044500390,2017,2017,2017,2017,86558,86558,hazel wolf,"11530 12th Ave. NE
Seattle, WA 98125",98125,11530 12TH AVE NE,1196911,033,King,033-2044500390,DIXONS S P GREEN LAKE ACRE TRS POR NWLY OF PIN*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2044500390,1/20/2023 8:00:00 AM,6275b327-d0e7-4881-9c7c-a08409d0e83f,138131.040222168,1762.34313122326,Hazel Wolf K-8,Hazel Wolf,2009,"Pinehurst, Seattle",NA,720
2095200005,2016,2016,2016,2016,94294,94294,genesee hill,"5013 SW Dakota St.
Seattle, WA 98116",98116,5013 SW DAKOTA ST,1195646,033,King,033-2095200005,DOVER ADD TGW POR OF VAC 50TH AVE SW ADJ AS VAC B*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2095200005,1/20/2023 8:00:00 AM,c03f232e-b014-49f9-bdc4-c8f3c0bf216f,177451.990600586,1802.76542221411,Genesee Hill Elementary,Genesee Hill,2016,West Seattle,Red Foxes,514
2123700235,1975,2001,1997,2001,73411,73411,dunlap,"4525 S Cloverdale St.
Seattle, WA 98118",98118,4525 S CLOVERDALE ST,1192551,033,King,033-2123700235,DUNLAPS PLAT ON LAKE WASHINGTON LESS POR FOR S *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2123700235,1/20/2023 8:00:00 AM,33757eee-8af0-4d11-9923-9e705f767b03,212746.503479004,2192.12369055755,Dunlap Elementary,Dunlap,1898,Dunlap,Dolphins,297
2123700250,2009,2009,2009,2009,190442,190442,south shore,"4800 S Henderson St.
Seattle, WA 98118",98118,8601 RAINIER AVE S,1192549,033,King,033-2123700250,DUNLAPS PLAT ON LAKE WASHINGTON PCL B SEATTLE LBA*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2123700250,1/20/2023 8:00:00 AM,02559bfd-5561-4ef1-a347-116de7c5f115,417149.674377441,4418.29673947462,South Shore PK-8,South Shore,NA,Rainier Beach,Sea Dragons,607
2126049041,2017,2017,2017,2017,94480,94480,olympic hills,"13018 20th Ave. NE
Seattle, WA 98125",98125,13018 20TH AVE NE,1191582,033,King,033-2126049041,W 1/2 OF SW 1/4 OF NE 1/4 OF SW 1/4 LESS E 1/2 *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2126049041,1/20/2023 8:00:00 AM,2b61b269-ed0a-4286-b45d-f9de11a11b01,286427.17791748,2641.63015411263,Olympic Hills Elementary,Olympic Hills,1954,Olympic Hills,Otters,502
2225039016,1951,1951,1998,1998,167996,167996,catharine blaine,"2550 34th Ave. W
Seattle, WA 98199",98199,2550 34TH AVE W,1181373,033,King,033-2225039016,POR SE 1/4 OF NE1/4 SEC 22-25-3 LY W OF 32ND AVE *,SEATTLE,67,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2225039016,1/20/2023 8:00:00 AM,fddec1f9-c320-4815-a265-2ab52bb853b9,671048.639343262,4502.25685439804,Catharine Blaine K-8,Catharine Blaine,1998,Magnolia,Tigers,460
2518400005,2016,2016,2016,2016,89973,89973,arbor heights,"3701 SW 104th St.
Seattle, WA 98146",98146,3701 SW 104TH ST,1158619,033,King,033-2518400005,FERN HILL ACRE TRS TGW E HALF OF VACATED 37TH AVE*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2518400005,1/20/2023 8:00:00 AM,0b1c7ace-56a6-4260-bf6e-f57f4d92a92f,101555.272521973,1279.76711901282,Arbor Heights Elementary,Arbor Heights,1948,Arbor Heights,Jr. Seahawks,518
2524039050,1988,1988,2000,2000,48154,48154,west seattle,"6760 34th Ave SW
Seattle, WA 98126",98126,6760 34TH AVE SW,1156986,033,King,033-2524039050,"PCL """"AA"""" OF SEATTLE BLA# 3037823- LU REC# 2021100*",SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2524039050,1/20/2023 8:00:00 AM,58e0372b-f342-4638-9bd6-1508e961dbf9,295422.926757813,2582.5717814932,West Seattle Elementary,West Seattle,NA,West Seattle,Huskies,386
2768000375,1997,1990,2020,2020,81068,81068,west woodland,"5601 4th Ave NW
Seattle, WA 98107",98107,5601 4TH AVE NW,1134666,033,King,033-2768000375,GILMAN PARK ADD   TGW LOTS 10 TO *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2768000375,1/20/2023 8:00:00 AM,30bdf7b5-7af6-4e22-86b2-c97a9ac2b386,139683.85357666,2462.8203869311,West Woodland Elementary,West Woodland,1910,Ballard,Wildcats,397
2919200635,1908,1908,2001,2001,60940,60940,greenwood,"144 NW 80th St.
Seattle, WA 98117",98117,144 NW 80TH ST,1117931,033,King,033-2919200635,GREENWOOD PARK ADD  ALL OF BLK 5 & *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2919200635,1/20/2023 8:00:00 AM,04842481-2161-4dfb-992b-dc3e351ffd5c,122356.446899414,1606.66057366397,Greenwood Elementary,Greenwood,1909,Greenwood,Stars,346
3352401300,1961,1961,1990,1990,34408,34408,rainier view,"11650 Beacon Ave. S
Seattle, WA 98178",98178,11236 BEACON AVE S,1076444,033,King,033-3352401300,HILLMANS MEADOW GARDENS DIV #4 POR LOT 2 & 19 *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3352401300,1/20/2023 8:00:00 AM,b336f988-4a83-45b4-96d7-a64572781f72,384090.670715332,2999.32427822606,Rainier View Elementary,Rainier View,1953,Rainier Valley,Tigers,230
3416600240,1989,1989,1989,1989,58654,58654,leschi,"135 32nd Ave.
Seattle, WA 98122",98122,3233 E SPRUCE ST,1069926,033,King,033-3416600240,HOLMES H E ADD   ALL BLK 4 & POR*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3416600240,1/20/2023 8:00:00 AM,5ed52a19-2415-495c-bc81-06be4aa3e39b,128991.763061523,1539.91710754731,Leschi Elementary,Leschi,1909,Leschi,Bulldog Pups,305
3438501230,1962,1962,1980,1980,115502,115502,louisa boren stem,"5950 Delridge Way SW
Seattle, WA 98106",98106,5950 DELRIDGE WAY SW,1065957,033,King,033-3438501230,HOMECROFT ADD LOTS 1 THRU 5 INCL & WEST 230.00 FT*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3438501230,1/20/2023 8:00:00 AM,a8244de3-a795-4bf6-bdf1-68e7916c0181,603421.496337891,3752.75510511677,Louisa Boren STEM K-8,Louisa Boren STEM,2012,Delridge,NA,490
3438502560,1971,1971,1990,1990,32007,32007,sanislo,"1812 SW Myrtle St.
Seattle, WA 98106",98106,1812 SW MYRTLE ST,1065449,033,King,033-3438502560,HOMECROFT ADD   & POR VAC ST AD*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3438502560,1/20/2023 8:00:00 AM,b7b37e4b-8314-40bc-bde1-ca2e5d209da1,42139.9395751953,842.619079030882,Sanislo Elementary,Sanislo,1970,Riverview,NA,180
3517000005,2016,2016,2016,2016,102890,102890,cascadia,"1700 N 90th St.
Seattle, WA 98103",98103,1700 N 90TH ST,1061928,033,King,033-3517000005,HULTENS ADD   BLKS 1-2 & POR *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3517000005,1/20/2023 8:00:00 AM,dd78f632-5632-456c-8066-b8c6d156fb43,339969.004882813,2477.18432739795,Cascadia Elementary,Cascadia,2013,Green Lake,Dragons,504
3526039024,1958,1958,1980,1980,31391,31391,north beach,"9018 24th Ave. NW
Seattle, WA 98117",98117,9018 24TH AVE NW,1060171,033,King,033-3526039024,W 1/2 OF SW 1/4 OF NW 1/4 OF SE 1/4 & SW 1/4*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3526039024,1/20/2023 8:00:00 AM,39d72929-fa0d-482d-aacf-28e5deaa1ebc,301240.758850098,2598.12805529555,North Beach Elementary,North Beach,1958,Ballard,Seals,365
3693901110,1907,1907,2019,2019,52287,52287,licton springs,"3015 NW 68th St.
Seattle, WA 98117",98117,3015 NW 68TH ST,1046469,033,King,033-3693901110,JENNINGS BALLARD ADD LOTS 4-5-6 BLOCK 27 TGW ALL *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3693901110,1/20/2023 8:00:00 AM,d7b4f5b9-f3e1-42a3-8db7-fc2caa5db613,67480.1818847656,1099.79439473059,Licton Springs K-8,Licton Springs,2014,"Licton Springs, Seattle",NA,118
